deal_id,stage,probability,deal_size,expected_close_date,sales_rep,segment,acquisition_channel,sales_cycle_days
DEAL-2000,Negotiation,0.8,159000,2026-11-01,Jordan,Mid-Market,Outbound,83
DEAL-2001,Demo,0.3,82000,2026-11-01,Jamie,Mid-Market,Partner,85
DEAL-2002,Discovery,0.15,44000,2026-05-01,Casey,SMB,Outbound,54
DEAL-2003,Proposal,0.65,30000,2026-12-01,Jamie,SMB,Outbound,81
DEAL-2004,Evaluation,0.5,120000,2026-09-01,Taylor,Mid-Market,Inbound,69
DEAL-2005,Demo,0.3,29000,2026-10-01,Casey,SMB,Inbound,42
DEAL-2006,Demo,0.3,451000,2026-09-01,Jamie,Enterprise,Outbound,105
DEAL-2007,Evaluation,0.5,88000,2026-06-01,Morgan,Mid-Market,Outbound,78
DEAL-2008,Discovery,0.15,259000,2026-03-01,Jamie,Enterprise,Outbound,122
DEAL-2009,Commit,0.92,88000,2026-06-01,Taylor,Mid-Market,Partner,73
DEAL-2010,Evaluation,0.5,105000,2026-02-01,Casey,Mid-Market,Event,95
DEAL-2011,Evaluation,0.5,30000,2026-01-01,Jordan,SMB,Outbound,37
DEAL-2012,Discovery,0.15,32000,2026-10-01,Taylor,SMB,Inbound,72
DEAL-2013,Proposal,0.65,108000,2026-03-01,Jamie,Mid-Market,Outbound,65
DEAL-2014,Negotiation,0.8,33000,2026-07-01,Morgan,SMB,Partner,41
DEAL-2015,Proposal,0.65,36000,2026-12-01,Riley,SMB,Partner,34
DEAL-2016,Proposal,0.65,41000,2026-10-01,Jordan,SMB,Partner,49
DEAL-2017,Discovery,0.15,90000,2026-08-01,Jamie,Mid-Market,Inbound,86
DEAL-2018,Proposal,0.65,29000,2026-06-01,Morgan,SMB,Partner,36
DEAL-2019,Demo,0.3,35000,2026-09-01,Morgan,SMB,Outbound,56
DEAL-2020,Discovery,0.15,123000,2026-03-01,Casey,Mid-Market,Inbound,80
DEAL-2021,Discovery,0.15,102000,2026-02-01,Morgan,Mid-Market,Outbound,88
DEAL-2022,Proposal,0.65,150000,2026-05-01,Morgan,Mid-Market,Inbound,91
DEAL-2023,Discovery,0.15,37000,2026-03-01,Jamie,SMB,Outbound,54
DEAL-2024,Evaluation,0.5,103000,2026-12-01,Jamie,Mid-Market,Inbound,97
DEAL-2025,Negotiation,0.8,436000,2026-09-01,Riley,Enterprise,Partner,131
DEAL-2026,Proposal,0.65,42000,2026-03-01,Jordan,SMB,Outbound,40
DEAL-2027,Negotiation,0.8,25000,2026-06-01,Riley,SMB,Inbound,13
DEAL-2028,Negotiation,0.8,112000,2026-06-01,Morgan,Mid-Market,Outbound,106
DEAL-2029,Commit,0.92,107000,2026-01-01,Avery,Mid-Market,Outbound,92
