month,department,role,start_date,fully_loaded_annual_cost,headcount,monthly_cost
2024-01,Sales,Account Executive,2024-01-01,185000,32,493333.33
2024-01,Sales,Sales Development Rep,2024-01-01,105000,18,157500.0
2024-01,Sales,Sales Leadership,2024-01-01,240000,5,100000.0
2024-01,Customer Success,Customer Success Manager,2024-01-01,125000,18,187500.0
2024-01,Customer Success,Implementation,2024-01-01,112000,8,74666.67
2024-01,Marketing,Demand Generation,2024-01-01,145000,9,108750.0
2024-01,Marketing,Content & Brand,2024-01-01,132000,6,66000.0
2024-01,Product & Engineering,Software Engineer,2024-01-01,175000,52,758333.33
2024-01,Product & Engineering,Product Manager,2024-01-01,165000,10,137500.0
2024-01,Product & Engineering,Design & Research,2024-01-01,145000,7,84583.33
2024-01,G&A,Finance & Accounting,2024-01-01,142000,8,94666.67
2024-01,G&A,People & Legal,2024-01-01,150000,7,87500.0
2024-01,G&A,IT & Facilities,2024-01-01,125000,5,52083.33
2024-02,Sales,Account Executive,2024-01-01,185000,32,493333.33
2024-02,Sales,Sales Development Rep,2024-01-01,105000,18,157500.0
2024-02,Sales,Sales Leadership,2024-01-01,240000,5,100000.0
2024-02,Customer Success,Customer Success Manager,2024-01-01,125000,18,187500.0
2024-02,Customer Success,Implementation,2024-01-01,112000,8,74666.67
2024-02,Marketing,Demand Generation,2024-01-01,145000,9,108750.0
2024-02,Marketing,Content & Brand,2024-01-01,132000,6,66000.0
2024-02,Product & Engineering,Software Engineer,2024-01-01,175000,52,758333.33
2024-02,Product & Engineering,Product Manager,2024-01-01,165000,10,137500.0
2024-02,Product & Engineering,Design & Research,2024-01-01,145000,7,84583.33
2024-02,G&A,Finance & Accounting,2024-01-01,142000,8,94666.67
2024-02,G&A,People & Legal,2024-01-01,150000,7,87500.0
2024-02,G&A,IT & Facilities,2024-01-01,125000,5,52083.33
2024-03,Sales,Account Executive,2024-01-01,185000,32,493333.33
2024-03,Sales,Sales Development Rep,2024-01-01,105000,18,157500.0
2024-03,Sales,Sales Leadership,2024-01-01,240000,5,100000.0
2024-03,Customer Success,Customer Success Manager,2024-01-01,125000,18,187500.0
2024-03,Customer Success,Implementation,2024-01-01,112000,8,74666.67
2024-03,Marketing,Demand Generation,2024-01-01,145000,9,108750.0
2024-03,Marketing,Content & Brand,2024-01-01,132000,6,66000.0
2024-03,Product & Engineering,Software Engineer,2024-01-01,175000,52,758333.33
2024-03,Product & Engineering,Product Manager,2024-01-01,165000,10,137500.0
2024-03,Product & Engineering,Design & Research,2024-01-01,145000,7,84583.33
2024-03,G&A,Finance & Accounting,2024-01-01,142000,8,94666.67
2024-03,G&A,People & Legal,2024-01-01,150000,7,87500.0
2024-03,G&A,IT & Facilities,2024-01-01,125000,5,52083.33
2024-04,Sales,Account Executive,2024-01-01,185000,33,508750.0
2024-04,Sales,Sales Development Rep,2024-01-01,105000,18,157500.0
2024-04,Sales,Sales Leadership,2024-01-01,240000,5,100000.0
2024-04,Customer Success,Customer Success Manager,2024-01-01,125000,18,187500.0
2024-04,Customer Success,Implementation,2024-01-01,112000,8,74666.67
2024-04,Marketing,Demand Generation,2024-01-01,145000,9,108750.0
2024-04,Marketing,Content & Brand,2024-01-01,132000,6,66000.0
2024-04,Product & Engineering,Software Engineer,2024-01-01,175000,53,772916.67
2024-04,Product & Engineering,Product Manager,2024-01-01,165000,10,137500.0
2024-04,Product & Engineering,Design & Research,2024-01-01,145000,7,84583.33
2024-04,G&A,Finance & Accounting,2024-01-01,142000,8,94666.67
2024-04,G&A,People & Legal,2024-01-01,150000,7,87500.0
2024-04,G&A,IT & Facilities,2024-01-01,125000,5,52083.33
2024-05,Sales,Account Executive,2024-01-01,185000,33,508750.0
2024-05,Sales,Sales Development Rep,2024-01-01,105000,19,166250.0
2024-05,Sales,Sales Leadership,2024-01-01,240000,5,100000.0
2024-05,Customer Success,Customer Success Manager,2024-01-01,125000,18,187500.0
2024-05,Customer Success,Implementation,2024-01-01,112000,8,74666.67
2024-05,Marketing,Demand Generation,2024-01-01,145000,9,108750.0
2024-05,Marketing,Content & Brand,2024-01-01,132000,6,66000.0
2024-05,Product & Engineering,Software Engineer,2024-01-01,175000,53,772916.67
2024-05,Product & Engineering,Product Manager,2024-01-01,165000,10,137500.0
2024-05,Product & Engineering,Design & Research,2024-01-01,145000,7,84583.33
2024-05,G&A,Finance & Accounting,2024-01-01,142000,8,94666.67
