month,customer_id,plan_tier,acquisition_channel,sales_rep,mrr,status,cohort_month,prior_mrr,mrr_movement
2024-01,CUST-1000,SMB,Inbound,Riley,1900,new,2024-01,0,1900
2024-01,CUST-1001,SMB,Outbound,Jamie,3200,new,2024-01,0,3200
2024-01,CUST-1002,SMB,Outbound,Taylor,2400,new,2024-01,0,2400
2024-01,CUST-1003,Mid-Market,Inbound,Casey,8300,new,2024-01,0,8300
2024-01,CUST-1004,SMB,Outbound,Riley,2100,new,2024-01,0,2100
2024-01,CUST-1005,Mid-Market,Outbound,Riley,7600,new,2024-01,0,7600
2024-01,CUST-1006,SMB,Event,Avery,3100,new,2024-01,0,3100
2024-01,CUST-1007,SMB,Partner,Casey,2500,new,2024-01,0,2500
2024-01,CUST-1008,SMB,Outbound,Morgan,1800,new,2024-01,0,1800
2024-01,CUST-1009,SMB,Partner,Jordan,3600,new,2024-01,0,3600
2024-01,CUST-1010,Mid-Market,Partner,Jamie,7700,new,2024-01,0,7700
2024-01,CUST-1011,Mid-Market,Outbound,Taylor,11400,new,2024-01,0,11400
2024-01,CUST-1012,SMB,Partner,Casey,2700,new,2024-01,0,2700
2024-01,CUST-1013,Mid-Market,Inbound,Taylor,8000,new,2024-01,0,8000
2024-01,CUST-1014,Mid-Market,Outbound,Jamie,9700,new,2024-01,0,9700
2024-01,CUST-1015,Enterprise,Inbound,Jordan,37800,new,2024-01,0,37800
2024-01,CUST-1016,Mid-Market,Inbound,Riley,8800,new,2024-01,0,8800
2024-01,CUST-1017,Mid-Market,Inbound,Casey,8600,new,2024-01,0,8600
2024-01,CUST-1018,SMB,Event,Taylor,2300,new,2024-01,0,2300
2024-01,CUST-1019,Enterprise,Partner,Avery,36200,new,2024-01,0,36200
2024-01,CUST-1020,SMB,Inbound,Morgan,2600,new,2024-01,0,2600
2024-01,CUST-1021,SMB,Outbound,Jamie,2900,new,2024-01,0,2900
2024-01,CUST-1022,SMB,Outbound,Jordan,2500,new,2024-01,0,2500
2024-01,CUST-1023,SMB,Inbound,Jordan,2500,new,2024-01,0,2500
2024-01,CUST-1024,Mid-Market,Event,Taylor,12800,new,2024-01,0,12800
2024-01,CUST-1025,SMB,Outbound,Morgan,2200,new,2024-01,0,2200
2024-01,CUST-1026,SMB,Partner,Jamie,2100,new,2024-01,0,2100
2024-01,CUST-1027,SMB,Event,Jamie,2000,new,2024-01,0,2000
2024-01,CUST-1028,SMB,Inbound,Casey,2200,new,2024-01,0,2200
2024-01,CUST-1029,Strategic,Inbound,Avery,82700,new,2024-01,0,82700
2024-01,CUST-1030,Mid-Market,Inbound,Riley,7700,new,2024-01,0,7700
2024-01,CUST-1031,SMB,Inbound,Morgan,2400,new,2024-01,0,2400
2024-01,CUST-1032,SMB,Inbound,Casey,1700,new,2024-01,0,1700
2024-01,CUST-1033,Enterprise,Outbound,Casey,36700,new,2024-01,0,36700
2024-01,CUST-1034,Mid-Market,Inbound,Casey,6700,new,2024-01,0,6700
2024-01,CUST-1035,SMB,Outbound,Morgan,1900,new,2024-01,0,1900
2024-01,CUST-1036,Mid-Market,Outbound,Casey,8400,new,2024-01,0,8400
2024-01,CUST-1037,SMB,Event,Jamie,3200,new,2024-01,0,3200
2024-01,CUST-1038,SMB,Inbound,Casey,2900,new,2024-01,0,2900
2024-01,CUST-1039,SMB,Inbound,Jordan,2200,new,2024-01,0,2200
2024-01,CUST-1040,SMB,Inbound,Morgan,2600,new,2024-01,0,2600
2024-01,CUST-1041,SMB,Inbound,Taylor,1700,new,2024-01,0,1700
2024-01,CUST-1042,SMB,Outbound,Avery,3300,new,2024-01,0,3300
2024-01,CUST-1043,Mid-Market,Inbound,Jordan,6800,new,2024-01,0,6800
2024-01,CUST-1044,SMB,Partner,Avery,1800,new,2024-01,0,1800
2024-01,CUST-1045,Strategic,Partner,Jordan,100200,new,2024-01,0,100200
2024-01,CUST-1046,Strategic,Inbound,Casey,81400,new,2024-01,0,81400
2024-01,CUST-1047,Mid-Market,Partner,Jordan,8000,new,2024-01,0,8000
2024-01,CUST-1048,SMB,Inbound,Casey,3100,new,2024-01,0,3100
2024-01,CUST-1049,Mid-Market,Inbound,Jamie,8200,new,2024-01,0,8200
2024-01,CUST-1050,Mid-Market,Outbound,Jamie,9200,new,2024-01,0,9200
2024-01,CUST-1051,SMB,Inbound,Casey,2600,new,2024-01,0,2600
2024-01,CUST-1052,Enterprise,Outbound,Taylor,23500,new,2024-01,0,23500
2024-01,CUST-1053,Enterprise,Inbound,Jordan,31000,new,2024-01,0,31000
2024-01,CUST-1054,Mid-Market,Partner,Morgan,8700,new,2024-01,0,8700
2024-01,CUST-1055,Mid-Market,Inbound,Avery,8200,new,2024-01,0,8200
2024-01,CUST-1056,SMB,Partner,Jamie,3100,new,2024-01,0,3100
2024-01,CUST-1057,Enterprise,Partner,Jamie,31500,new,2024-01,0,31500
2024-01,CUST-1058,Mid-Market,Outbound,Jordan,8800,new,2024-01,0,8800
2024-01,CUST-1059,Mid-Market,Inbound,Casey,7100,new,2024-01,0,7100
2024-01,CUST-1060,SMB,Outbound,Morgan,2300,new,2024-01,0,2300
2024-01,CUST-1061,SMB,Inbound,Casey,2000,new,2024-01,0,2000
